"DAX" "Dow Jones" "Nikkei" "VIX"
4338.350098 8000.859863 7994.049805 6690.978203
4271.040039 7936.75 7873.97998 6669.864844
4374.959961 8078.359863 7825.509766 6357.644968
4492.790039 7956.660156 8038.939941 6381.317077
4510.490234 8063.069824 7949.649902 6342.289532
4644.629883 8280.589844 8076.620117 6250.7988
4666.819824 8270.870117 7969.029785 6355.085729
4505.540039 7888.879883 7945.939941 6692.257578
4530.089844 7939.529785 7945.939941 6594.368993
4407.560059 7932.759766 7705.359863 6574.535498
4413.390137 7850.410156 7779.399902 6525.270995
4413.390137 7850.410156 7750.169922 6525.270995
4216.600098 7552.600098 7645.509766 6851.566444
4204.959961 7555.629883 7534.439941 6923.863612
4215.209961 7465.950195 7557.649902 6927.702227
4014.659912 7365.669922 7416.379883 7250.159061
3936.449951 7114.779785 7376.160156 7637.874789
3895.75 7350.939941 7268.560059 6914.906519
3846.209961 7270.890137 7461.220215 6874.59911
3942.620117 7182.080078 7457.930176 6943.057175
3843.73999 7062.930176 7568.419922 6952.654201
3710.070068 6763.290039 7280.149902 7446.576165
3690.719971 6726.02002 7229.720215 7415.226337
3890.939941 6875.839844 7290.959961 6897.631775
3695.48999 6594.439941 7433.490234 7312.859204
3666.409912 6626.939941 7173.100098 7253.997676
3692.030029 6547.049805 7086.029785 7282.148821
3886.97998 6926.490234 7054.97998 6739.602286
3914.100098 6930.399902 7376.120117 6689.698339
3956.219971 7170.060059 7198.25 6573.255634
3953.600098 7223.97998 7569.279785 6669.864844
4044.540039 7216.970215 7704.149902 6904.669561
3987.77002 7395.700195 7949.129883 6665.386298
3996.320068 7486.580078 7972.169922 6682.021109
4043.459961 7400.799805 7945.959961 6995.520361
4068.73999 7278.379883 7945.959961 7419.064952
4176.370117 7775.859863 8215.530273 6949.455518
4187.359863 7659.970215 8488.299805 7063.338983
4223.290039 7749.810059 8479.990234 6950.734893
4259.370117 7924.560059 8636.330078 6676.90263
4203.549805 7776.180176 8626.969727 6865.642016
3989.22998 7522.02002 8236.080078 7376.198791
4084.76001 7608.919922 8109.529785 7243.121275
4131.069824 7761.600098 8351.910156 7112.602998
4381.919922 7978.080078 8719.780273 6996.160293
4384.990234 8017.589844 8749.839844 6872.679802
4349.810059 7975.850098 8857.929688 6911.067416
4322.5 7789.560059 8832.849609 6910.427972
4357.919922 7837.109863 8595.009766 6767.75343
4491.120117 8083.379883 8916.05957 6516.953833
4491.120117 8083.379883 8964.110352 6516.953833
4491.120117 8057.810059 8924.429688 6421.624487
4557.009766 7920.180176 8842.679688 6426.103034
4549.790039 8029.620117 8742.959961 6269.992851
4609.459961 8125.430176 8755.259766 6072.296372
4676.839844 8131.330078 8907.580078 5932.821001
4486.299805 7841.72998 8924.75 6371.720052
4501.629883 7969.560059 8711.330078 6146.51236
4594.419922 7886.569824 8727.299805 6159.308069
4538.209961 7957.060059 8847.009766 6131.157412
4674.319824 8076.290039 8707.990234 6117.08184
4694.069824 8025 8726.339844 6290.466278
4607.419922 8016.950195 8493.769531 6213.051118
